departamento,campania_inicio
Aguirre,2007
Aguirre,2009
Aguirre,2010
Aguirre,2011
Aguirre,2012
Aguirre,2013
Aguirre,2014
Aguirre,2015
Aguirre,2016
Aguirre,2017
Alberdi,1981
Alberdi,1982
Alberdi,1983
Alberdi,1984
Alberdi,1985
Alberdi,1986
Alberdi,1987
Alberdi,1988
Alberdi,1989
Alberdi,1996
Alberdi,1997
Alberdi,1998
Alberdi,2002
Alberdi,2003
Alberdi,2004
Alberdi,2005
Alberdi,2006
Alberdi,2007
Alberdi,2008
Alberdi,2009
Alberdi,2010
Alberdi,2011
Alberdi,2012
Alberdi,2013
Alberdi,2014
Alberdi,2015
Alberdi,2016
Alberdi,2017
Alberti,1981
Alberti,1982
Alberti,1983
Alberti,1984
Alberti,1985
Alberti,1986
Alberti,1987
Alberti,1988
Alberti,1989
Alberti,1990
Alberti,1991
Alberti,1992
Alberti,1993
Alberti,1994
Alberti,1995
Alberti,1996
Alberti,1997
Alberti,1998
Alberti,2000
Alberti,2001
Alberti,2002
Alberti,2003
Alberti,2004
Alberti,2005
Alberti,2006
Alberti,2009
Alberti,2010
Alberti,2011
Alberti,2012
Alberti,2013
Alberti,2014
Alberti,2015
Alberti,2016
Almirante Brown,1981
Almirante Brown,1982
Almirante Brown,1983
Almirante Brown,1984
Almirante Brown,1985
Almirante Brown,1986
Almirante Brown,1987
Almirante Brown,1989
Almirante Brown,1990
Almirante Brown,1991
Almirante Brown,1992
Almirante Brown,1993
Almirante Brown,1994
Almirante Brown,1995
Almirante Brown,1996
Almirante Brown,1997
Almirante Brown,1998
Almirante Brown,1999
Almirante Brown,2000
Almirante Brown,2001
Almirante Brown,2002
Almirante Brown,2003
Almirante Brown,2004
Almirante Brown,2005
Almirante Brown,2006
Almirante Brown,2007
Almirante Brown,2009
Almirante Brown,2010
Almirante Brown,2011
Almirante Brown,2012
Almirante Brown,2013
Almirante Brown,2014
Almirante Brown,2015
Almirante Brown,2016
Almirante Brown,2017
Anta,1981
Anta,1982
Anta,1983
Anta,1984
Anta,1985
Anta,1986
Anta,1987
Anta,1989
Anta,1990
Anta,1991
Anta,1992
Anta,1993
Anta,1994
Anta,1995
Anta,1996
Anta,1998
Anta,2000
Anta,2001
Anta,2002
Anta,2003
Anta,2004
Anta,2005
Anta,2006
Anta,2007
Anta,2008
Anta,2009
Anta,2010
Anta,2011
Anta,2013
Anta,2014
Anta,2015
Anta,2016
Anta,2017
Apostoles,1981
Apostoles,1982
Apostoles,1983
Apostoles,1984
Apostoles,1985
Apostoles,1986
Apostoles,1987
Apostoles,1988
Apostoles,1989
Apostoles,1991
Apostoles,1993
Apostoles,1994
Apostoles,1995
Apostoles,1996
Apostoles,1997
Apostoles,1998
Apostoles,1999
Apostoles,2000
Apostoles,2001
Apostoles,2002
Apostoles,2005
Apostoles,2007
Apostoles,2009
Apostoles,2010
Apostoles,2011
Apostoles,2012
Apostoles,2013
Apostoles,2014
Apostoles,2015
Apostoles,2016
Apostoles,2017
Arrecifes,1981
Arrecifes,1982
Arrecifes,1983
Arrecifes,1984
Arrecifes,1985
Arrecifes,1986
Arrecifes,1987
Arrecifes,1989
Arrecifes,1990
Arrecifes,1991
Arrecifes,1992
Arrecifes,1993
Arrecifes,1994
Arrecifes,1995
Arrecifes,1996
Arrecifes,1997
Arrecifes,1998
Arrecifes,1999
Arrecifes,2000
Arrecifes,2001
Arrecifes,2002
Arrecifes,2003
Arrecifes,2004
Arrecifes,2005
Arrecifes,2006
Arrecifes,2007
Arrecifes,2009
Arrecifes,2010
Arrecifes,2011
Arrecifes,2012
Arrecifes,2013
Arrecifes,2014
Arrecifes,2015
Arrecifes,2016
Atreuco,1981
Atreuco,1982
Atreuco,1983
Atreuco,1984
Atreuco,1985
Atreuco,1986
Atreuco,1987
Atreuco,1988
Atreuco,1989
Atreuco,1990
Atreuco,1991
Atreuco,1992
Atreuco,1993
Atreuco,1994
Atreuco,1996
Atreuco,1997
Atreuco,1998
Atreuco,1999
Atreuco,2000
Atreuco,2001
Atreuco,2002
Atreuco,2003
Atreuco,2004
Atreuco,2006
Atreuco,2009
Atreuco,2010
Atreuco,2011
Atreuco,2012
Atreuco,2013
Atreuco,2014
Atreuco,2015
Atreuco,2016
Atreuco,2017
Avellaneda,1981
Avellaneda,1982
Avellaneda,1985
Avellaneda,1986
Avellaneda,1987
Avellaneda,1988
Avellaneda,1989
Avellaneda,2010
Avellaneda,2011
Avellaneda,2012
Avellaneda,2013
Avellaneda,2014
Avellaneda,2015
Avellaneda,2016
Avellaneda,2017
Ayacucho,1981
Ayacucho,1982
Ayacucho,1983
Ayacucho,1984
Ayacucho,1985
Ayacucho,1986
Ayacucho,1987
Ayacucho,1988
Ayacucho,1989
Ayacucho,1990
Ayacucho,1991
Ayacucho,1992
Ayacucho,1993
Ayacucho,1994
Ayacucho,1995
Ayacucho,1996
Ayacucho,1997
Ayacucho,1999
Ayacucho,2000
Ayacucho,2001
Ayacucho,2002
Ayacucho,2003
Ayacucho,2004
Ayacucho,2005
Ayacucho,2006
Ayacucho,2007
Ayacucho,2008
Ayacucho,2009
Ayacucho,2010
Ayacucho,2011
Ayacucho,2012
Ayacucho,2013
Ayacucho,2014
Ayacucho,2015
Ayacucho,2016
Ayacucho,2017
Azul,1981
Azul,1982
Azul,1983
Azul,1984
Azul,1985
Azul,1986
Azul,1987
Azul,1989
Azul,1990
Azul,1991
Azul,1992
Azul,1993
Azul,1994
Azul,1995
Azul,1996
Azul,1997
Azul,1998
Azul,1999
Azul,2000
Azul,2001
Azul,2002
Azul,2003
Azul,2004
Azul,2005
Azul,2006
Azul,2007
Azul,2009
Azul,2010
Azul,2011
Azul,2012
Azul,2013
Azul,2014
Azul,2015
Azul,2016
Balcarce,1981
Balcarce,1982
Balcarce,1983
Balcarce,1984
Balcarce,1985
Balcarce,1986
Balcarce,1987
Balcarce,1988
Balcarce,1989
Balcarce,1990
Balcarce,1991
Balcarce,1993
Balcarce,1994
Balcarce,1995
Balcarce,1996
Balcarce,1997
Balcarce,1998
Balcarce,1999
Balcarce,2000
Balcarce,2001
Balcarce,2002
Balcarce,2003
Balcarce,2004
Balcarce,2005
Balcarce,2006
Balcarce,2007
Balcarce,2009
Balcarce,2010
Balcarce,2011
Balcarce,2012
Balcarce,2013
Balcarce,2014
Balcarce,2015
Balcarce,2016
Balcarce,2017
Banda,1981
Banda,1982
Banda,1985
Banda,1986
Banda,1987
Banda,1989
Banda,1991
Banda,1992
Banda,1993
Banda,1994
Banda,1995
Banda,1996
Banda,1997
Banda,1998
Banda,2005
Banda,2006
Banda,2007
Banda,2009
Banda,2010
Banda,2011
Banda,2012
Banda,2013
Banda,2014
Banda,2015
Banda,2016
Banda,2017
Baradero,1981
Baradero,1982
Baradero,1983
Baradero,1984
Baradero,1985
Baradero,1986
Baradero,1987
Baradero,1989
Baradero,1990
Baradero,1991
Baradero,1992
Baradero,1993
Baradero,1994
Baradero,1996
Baradero,1997
Baradero,1998
Baradero,1999
Baradero,2000
Baradero,2001
Baradero,2002
Baradero,2003
Baradero,2004
Baradero,2005
Baradero,2006
Baradero,2007
Baradero,2009
Baradero,2010
Baradero,2011
Baradero,2012
Baradero,2013
Baradero,2014
Baradero,2015
Baradero,2016
Belgrano,1981
Belgrano,1982
Belgrano,1983
Belgrano,1984
Belgrano,1985
Belgrano,1986
Belgrano,1987
Belgrano,1988
Belgrano,1989
Belgrano,1990
Belgrano,1991
Belgrano,1992
Belgrano,1993
Belgrano,1994
Belgrano,1995
Belgrano,1996
Belgrano,1997
Belgrano,1998
Belgrano,1999
Belgrano,2000
Belgrano,2001
Belgrano,2002
Belgrano,2003
Belgrano,2004
Belgrano,2005
Belgrano,2006
Belgrano,2007
Belgrano,2008
Belgrano,2009
Belgrano,2010
Belgrano,2011
Belgrano,2012
Belgrano,2013
Belgrano,2014
Belgrano,2015
Belgrano,2016
Belgrano,2017
Bella Vista,1981
Bella Vista,1982
Bella Vista,1983
Bella Vista,1984
Bella Vista,1985
Bella Vista,1986
Bella Vista,1987
Bella Vista,1988
Bella Vista,1989
Bella Vista,1991
Bella Vista,1992
Bella Vista,1993
Bella Vista,1994
Bella Vista,1995
Bella Vista,1996
Bella Vista,1997
Bella Vista,1998
Bella Vista,1999
Bella Vista,2000
Bella Vista,2001
Bella Vista,2002
Bella Vista,2003
Bella Vista,2005
Bella Vista,2007
Bella Vista,2009
Bella Vista,2010
Bella Vista,2013
Benito Juarez,1981
Benito Juarez,1982
Benito Juarez,1983
Benito Juarez,1984
Benito Juarez,1985
Benito Juarez,1986
Benito Juarez,1987
Benito Juarez,1988
Benito Juarez,1989
Benito Juarez,1990
Benito Juarez,1991
Benito Juarez,1993
Benito Juarez,1994
Benito Juarez,1995
Benito Juarez,1996
Benito Juarez,1997
Benito Juarez,1998
Benito Juarez,1999
Benito Juarez,2000
Benito Juarez,2001
Benito Juarez,2002
Benito Juarez,2003
Benito Juarez,2004
Benito Juarez,2005
Benito Juarez,2006
Benito Juarez,2007
Benito Juarez,2009
Benito Juarez,2010
Benito Juarez,2011
Benito Juarez,2012
Benito Juarez,2014
Benito Juarez,2015
Benito Juarez,2016
Bermejo,1981
Bermejo,1982
Bermejo,1983
Bermejo,1984
Bermejo,1986
Bermejo,1987
Bermejo,1988
Bermejo,1989
Bermejo,1993
Bermejo,1994
Bermejo,1995
Bermejo,1996
Bermejo,1997
Bermejo,1998
Bermejo,1999
Bermejo,2000
Bermejo,2001
Bermejo,2002
Bermejo,2003
Bermejo,2004
Bermejo,2005
Bermejo,2006
Bermejo,2007
Bermejo,2009
Bermejo,2010
Bermejo,2011
Bermejo,2012
Bermejo,2013
Bermejo,2014
Bermejo,2015
Beron De Astrada,1981
Beron De Astrada,1982
Beron De Astrada,1983
Beron De Astrada,1984
Beron De Astrada,1985
Beron De Astrada,1986
Beron De Astrada,1987
Beron De Astrada,1988
Beron De Astrada,1989
Beron De Astrada,1991
Beron De Astrada,1995
Beron De Astrada,1996
Beron De Astrada,1997
Beron De Astrada,1998
Beron De Astrada,1999
Beron De Astrada,2003
Beron De Astrada,2005
Bolivar,1981
Bolivar,1982
Bolivar,1983
Bolivar,1984
Bolivar,1985
Bolivar,1986
Bolivar,1987
Bolivar,1988
Bolivar,1989
Bolivar,1990
Bolivar,1991
Bolivar,1992
Bolivar,1993
Bolivar,1994
Bolivar,1996
Bolivar,1997
Bolivar,1998
Bolivar,1999
Bolivar,2000
Bolivar,2001
Bolivar,2002
Bolivar,2003
Bolivar,2004
Bolivar,2005
Bolivar,2006
Bolivar,2007
Bolivar,2009
Bolivar,2010
Bolivar,2011
Bolivar,2012
Bolivar,2013
Bolivar,2014
Bolivar,2015
Bolivar,2016
Bragado,1981
Bragado,1982
Bragado,1983
Bragado,1984
Bragado,1985
Bragado,1986
Bragado,1987
Bragado,1989
Bragado,1990
Bragado,1991
Bragado,1992
Bragado,1993
Bragado,1994
Bragado,1995
Bragado,1996
Bragado,1997
Bragado,1998
Bragado,1999
Bragado,2000
Bragado,2001
Bragado,2002
Bragado,2003
Bragado,2004
Bragado,2005
Bragado,2006
Bragado,2007
Bragado,2009
Bragado,2010
Bragado,2011
Bragado,2012
Bragado,2013
Bragado,2014
Bragado,2015
Bragado,2016
Brandsen,1981
Brandsen,1982
Brandsen,1983
Brandsen,1984
Brandsen,1985
Brandsen,1986
Brandsen,1987
Brandsen,2003
Brandsen,2004
Brandsen,2005
Brandsen,2006
Brandsen,2007
Brandsen,2009
Brandsen,2010
Brandsen,2011
Brandsen,2012
Brandsen,2013
Brandsen,2014
Brandsen,2015
Brandsen,2016
Brandsen,2017
Burruyacu,1981
Burruyacu,1982
Burruyacu,1983
Burruyacu,1984
Burruyacu,1985
Burruyacu,1986
Burruyacu,1987
Burruyacu,1989
Burruyacu,1990
Burruyacu,1991
Burruyacu,1992
Burruyacu,1993
Burruyacu,1994
Burruyacu,1996
Burruyacu,1997
Burruyacu,1998
Burruyacu,2004
Burruyacu,2005
Burruyacu,2006
Burruyacu,2007
Burruyacu,2008
Burruyacu,2009
Burruyacu,2010
Burruyacu,2012
Burruyacu,2013
Burruyacu,2014
Burruyacu,2015
Burruyacu,2016
Burruyacu,2017
Cachi,2000
Cachi,2001
Cachi,2002
Cachi,2003
Cachi,2004
Cachi,2005
Cachi,2006
Cachi,2007
Cachi,2008
Cachi,2009
Cachi,2010
Cachi,2011
Cachi,2013
Cachi,2014
Cachi,2015
Cachi,2016
Cachi,2017
Cainguas,1981
Cainguas,1982
Cainguas,1983
Cainguas,1984
Cainguas,1985
Cainguas,1986
Cainguas,1987
Cainguas,1988
Cainguas,1989
Cainguas,1991
Cainguas,1993
Cainguas,1994
Cainguas,1995
Cainguas,1996
Cainguas,1997
Cainguas,1998
Cainguas,1999
Cainguas,2000
Cainguas,2001
Cainguas,2002
Cainguas,2005
Cainguas,2007
Cainguas,2009
Cainguas,2010
Cainguas,2011
Cainguas,2012
Cainguas,2013
Cainguas,2014
Cainguas,2015
Cainguas,2016
Cainguas,2017
Calamuchita,1981
Calamuchita,1982
Calamuchita,1983
Calamuchita,1984
Calamuchita,1985
Calamuchita,1986
Calamuchita,1987
Calamuchita,1989
Calamuchita,1990
Calamuchita,1993
Calamuchita,1994
Calamuchita,1995
Calamuchita,1997
Calamuchita,1998
Calamuchita,1999
Calamuchita,2000
Calamuchita,2001
Calamuchita,2002
Calamuchita,2003
Calamuchita,2004
Calamuchita,2006
Calamuchita,2007
Calamuchita,2008
Calamuchita,2010
Calamuchita,2011
Calamuchita,2012
Calamuchita,2013
Calamuchita,2014
Calamuchita,2015
Calamuchita,2016
Calamuchita,2017
Campana,1981
Campana,1982
Campana,1983
Campana,1984
Campana,1985
Campana,1986
Campana,1987
Campana,1988
Campana,1989
Campana,1990
Campana,1991
Campana,1992
Campana,1993
Campana,1994
Campana,1996
Campana,1997
Campana,1998
Campana,2000
Campana,2001
Campana,2002
Campana,2003
Campana,2004
Campana,2005
Campana,2006
Campana,2007
Campana,2009
Campana,2010
Campana,2011
Campana,2012
Campana,2013
Campana,2014
Campana,2015
Campana,2016
Campana,2017
Candelaria,1981
Candelaria,1982
Candelaria,1983
Candelaria,1984
Candelaria,1985
Candelaria,1986
Candelaria,1987
Candelaria,1988
Candelaria,1989
Candelaria,1993
Candelaria,1994
Candelaria,1995
Candelaria,1996
Candelaria,1998
Candelaria,1999
Candelaria,2000
Candelaria,2001
Candelaria,2002
Candelaria,2003
Candelaria,2004
Candelaria,2005
Candelaria,2006
Candelaria,2007
Candelaria,2008
Candelaria,2009
Candelaria,2010
Candelaria,2011
Candelaria,2012
Candelaria,2013
Candelaria,2014
Candelaria,2015
Candelaria,2016
Candelaria,2017
Canuelas,1981
Canuelas,1982
Canuelas,1983
Canuelas,1984
Canuelas,1985
Canuelas,1987
Canuelas,1989
Canuelas,1990
Canuelas,1991
Canuelas,1992
Canuelas,1993
Canuelas,1994
Canuelas,1996
Canuelas,1997
Canuelas,1998
Canuelas,1999
Canuelas,2000
Canuelas,2001
Canuelas,2002
Canuelas,2003
Canuelas,2004
Canuelas,2005
Canuelas,2006
Canuelas,2007
Canuelas,2009
Canuelas,2010
Canuelas,2011
Canuelas,2012
Canuelas,2013
Canuelas,2014
Canuelas,2015
Canuelas,2016
Capayan,1981
Capayan,1982
Capayan,1983
Capayan,1984
Capayan,1985
Capayan,1986
Capayan,1987
Capayan,1989
Capayan,1991
Capayan,1992
Capayan,1995
Capayan,1996
Capayan,1997
Capayan,1998
Capayan,2004
Capayan,2005
Capayan,2006
Capayan,2007
Capayan,2008
Capayan,2009
Capayan,2010
Capayan,2011
Capital,1981
Capital,1982
Capital,1983
Capital,1984
Capital,1985
Capital,1986
Capital,1987
Capital,1988
Capital,1989
Capital,1990
Capital,1991
Capital,1992
Capital,1993
Capital,1994
Capital,1995
Capital,1996
Capital,1997
Capital,1998
Capital,1999
Capital,2000
Capital,2001
Capital,2002
Capital,2003
Capital,2004
Capital,2005
Capital,2006
Capital,2007
Capital,2008
Capital,2009
Capital,2010
Capital,2011
Capital,2012
Capital,2013
Capital,2014
Capital,2015
Capital,2016
Capital,2017
Capitan Sarmiento,1981
Capitan Sarmiento,1982
Capitan Sarmiento,1983
Capitan Sarmiento,1984
Capitan Sarmiento,1985
Capitan Sarmiento,1986
Capitan Sarmiento,1987
Capitan Sarmiento,1989
Capitan Sarmiento,1990
Capitan Sarmiento,1991
Capitan Sarmiento,1992
Capitan Sarmiento,1993
Capitan Sarmiento,1994
Capitan Sarmiento,1995
Capitan Sarmiento,1996
Capitan Sarmiento,1997
Capitan Sarmiento,1998
Capitan Sarmiento,1999
Capitan Sarmiento,2000
Capitan Sarmiento,2001
Capitan Sarmiento,2002
Capitan Sarmiento,2003
Capitan Sarmiento,2004
Capitan Sarmiento,2005
Capitan Sarmiento,2006
Capitan Sarmiento,2007
Capitan Sarmiento,2009
Capitan Sarmiento,2010
Capitan Sarmiento,2011
Capitan Sarmiento,2012
Capitan Sarmiento,2013
Capitan Sarmiento,2014
Capitan Sarmiento,2015
Capitan Sarmiento,2016
Carlos Casares,1981
Carlos Casares,1982
Carlos Casares,1983
Carlos Casares,1984
Carlos Casares,1985
Carlos Casares,1986
Carlos Casares,1987
Carlos Casares,1988
Carlos Casares,1989
Carlos Casares,1990
Carlos Casares,1991
Carlos Casares,1992
Carlos Casares,1993
Carlos Casares,1994
Carlos Casares,1996
Carlos Casares,1997
Carlos Casares,1998
Carlos Casares,1999
Carlos Casares,2000
Carlos Casares,2001
Carlos Casares,2002
Carlos Casares,2003
Carlos Casares,2004
Carlos Casares,2005
Carlos Casares,2006
Carlos Casares,2007
Carlos Casares,2009
Carlos Casares,2010
Carlos Casares,2011
Carlos Casares,2012
Carlos Casares,2013
Carlos Casares,2014
Carlos Casares,2015
Carlos Casares,2016
Carlos Casares,2017
Carlos Tejedor,1981
Carlos Tejedor,1982
Carlos Tejedor,1983
Carlos Tejedor,1984
Carlos Tejedor,1985
Carlos Tejedor,1986
Carlos Tejedor,1987
Carlos Tejedor,1988
Carlos Tejedor,1990
Carlos Tejedor,1991
Carlos Tejedor,1992
Carlos Tejedor,1993
Carlos Tejedor,1994
Carlos Tejedor,1996
Carlos Tejedor,1997
Carlos Tejedor,1998
Carlos Tejedor,1999
Carlos Tejedor,2000
Carlos Tejedor,2001
Carlos Tejedor,2002
Carlos Tejedor,2003
Carlos Tejedor,2004
Carlos Tejedor,2005
Carlos Tejedor,2006
Carlos Tejedor,2007
Carlos Tejedor,2009
Carlos Tejedor,2010
Carlos Tejedor,2011
Carlos Tejedor,2012
Carlos Tejedor,2013
Carlos Tejedor,2014
Carlos Tejedor,2015
Carlos Tejedor,2016
Carlos Tejedor,2017
Carmen De Areco,1981
Carmen De Areco,1982
Carmen De Areco,1983
Carmen De Areco,1984
Carmen De Areco,1985
Carmen De Areco,1986
Carmen De Areco,1987
Carmen De Areco,1989
Carmen De Areco,1990
Carmen De Areco,1991
Carmen De Areco,1992
Carmen De Areco,1993
Carmen De Areco,1994
Carmen De Areco,1995
Carmen De Areco,1996
Carmen De Areco,1997
Carmen De Areco,1998
Carmen De Areco,2000
Carmen De Areco,2001
Carmen De Areco,2002
Carmen De Areco,2003
Carmen De Areco,2004
Carmen De Areco,2006
Carmen De Areco,2007
Carmen De Areco,2009
Carmen De Areco,2010
Carmen De Areco,2011
Carmen De Areco,2012
Carmen De Areco,2013
Carmen De Areco,2014
Carmen De Areco,2015
Carmen De Areco,2016
Caseros,1981
Caseros,1982
Caseros,1983
Caseros,1984
Caseros,1985
Caseros,1986
Caseros,1987
Caseros,1989
Caseros,1990
Caseros,1991
Caseros,1992
Caseros,1993
Caseros,1994
Caseros,1995
Caseros,1997
Caseros,1998
Caseros,1999
Caseros,2000
Caseros,2001
Caseros,2002
Caseros,2003
Caseros,2004
Caseros,2005
Caseros,2006
Caseros,2007
Caseros,2009
Caseros,2010
Caseros,2011
Caseros,2012
Caseros,2013
Caseros,2014
Caseros,2015
Castellanos,1981
Castellanos,1982
Castellanos,1983
Castellanos,1984
Castellanos,1985
Castellanos,1986
Castellanos,1987
Castellanos,1989
Castellanos,1990
Castellanos,1991
Castellanos,1992
Castellanos,1993
Castellanos,1994
Castellanos,1995
Castellanos,1997
Castellanos,1998
Castellanos,1999
Castellanos,2000
Castellanos,2001
Castellanos,2002
Castellanos,2003
Castellanos,2004
Castellanos,2005
Castellanos,2006
Castellanos,2007
Castellanos,2009
Castellanos,2010
Castellanos,2011
Castellanos,2012
Castellanos,2013
Castellanos,2014
Castellanos,2015
Castellanos,2016
Castelli,1981
Castelli,1982
Castelli,1983
Castelli,1984
Castelli,1985
Castelli,1986
Castelli,1987
Castelli,1989
Castelli,1990
Castelli,1991
Castelli,1992
Castelli,1993
Castelli,1994
Castelli,1995
Castelli,1996
Castelli,1997
Castelli,1998
Castelli,1999
Castelli,2000
Castelli,2001
Castelli,2002
Castelli,2003
Castelli,2004
Castelli,2005
Castelli,2006
Castelli,2007
Castelli,2009
Castelli,2010
Castelli,2011
Castelli,2012
Castelli,2013
Castelli,2014
Castelli,2015
Castelli,2016
Castelli,2017
Catrilo,1981
Catrilo,1982
Catrilo,1983
Catrilo,1984
Catrilo,1985
Catrilo,1986
Catrilo,1987
Catrilo,1988
Catrilo,1989
Catrilo,1990
Catrilo,1991
Catrilo,1992
Catrilo,1993
Catrilo,1994
Catrilo,1996
Catrilo,1997
Catrilo,1998
Catrilo,1999
Catrilo,2000
Catrilo,2001
Catrilo,2002
Catrilo,2003
Catrilo,2004
Catrilo,2005
Catrilo,2006
Catrilo,2007
Catrilo,2009
Catrilo,2010
Catrilo,2011
Catrilo,2012
Catrilo,2013
Catrilo,2014
Catrilo,2015
Catrilo,2016
Catrilo,2017
Cerrillos,1981
Cerrillos,1982
Cerrillos,1983
Cerrillos,1984
Cerrillos,1985
Cerrillos,1986
